scl_lb,n_novel_subgraphs,n_total_inferred,rxn_cov_frac
1,19,19,0.9545454545454546
2,16,16,0.9545454545454546
3,15,15,0.9545454545454546
4,14,14,0.9545454545454546
5,14,14,0.9545454545454546
6,12,12,0.9545454545454546
7,12,12,0.9545454545454546
8,11,11,0.9545454545454546
9,2,2,0.9545454545454546
10,1,1,0.9545454545454546
11,1,1,0.9545454545454546
12,1,1,0.9545454545454546
13,1,1,0.9545454545454546
14,1,1,0.9545454545454546
15,1,1,0.9545454545454546
16,1,1,0.9545454545454546
17,1,1,0.9545454545454546
18,1,1,0.9545454545454546
19,1,1,0.9545454545454546
20,1,1,0.9545454545454546
21,0,0,0.0
